Scenarios,Camps Name,Mu,delta_D,alpha,delta_R,lambda_C,lambda_S,omega,Supply,Optimal Allocated Aid
Scenario 105,Camp 3,6,20,0.75,3,1071,2817.84,-8.733416672,6310,676
Scenario 105,Camp 4,6,20,0.75,3,4282.8,4500.96,-34.85080857,6310,2042
Scenario 105,Camp 5,6,20,0.75,3,2483.6,742.52,-20.22026056,6310,924
Scenario 105,Camp 6,6,20,0.75,3,1698.4,2074,-13.83524988,6310,844
Scenario 105,Camp 7,6,20,0.75,3,2174.4,1628.42,-17.70593937,6310,954
Scenario 106,Camp 1,6,30,0.75,3,428.4,2882.1,25.64451507,3786,42
Scenario 106,Camp 2,6,30,0.75,3,642.6,2860.68,38.37794773,3786,140
Scenario 106,Camp 3,6,30,0.75,3,1071,2817.84,63.84464891,3786,314
Scenario 106,Camp 4,6,30,0.75,3,4282.8,4500.96,254.7728708,3786,1348
Scenario 106,Camp 5,6,30,0.75,3,2483.6,742.52,147.8179142,3786,732
Scenario 106,Camp 6,6,30,0.75,3,1698.4,2074,101.1410201,3786,536
Scenario 106,Camp 7,6,30,0.75,3,2174.4,1628.42,129.4372553,3786,674
Scenario 106,Camp 1,6,30,0.75,3,428.4,2882.1,25.64451507,5048,180
Scenario 106,Camp 2,6,30,0.75,3,642.6,2860.68,38.37794773,5048,286
Scenario 106,Camp 3,6,30,0.75,3,1071,2817.84,63.84464891,5048,476
Scenario 106,Camp 4,6,30,0.75,3,4282.8,4500.96,254.7728708,5048,1714
Scenario 106,Camp 5,6,30,0.75,3,2483.6,742.52,147.8179142,5048,866
Scenario 106,Camp 6,6,30,0.75,3,1698.4,2074,101.1410201,5048,692
Scenario 106,Camp 7,6,30,0.75,3,2174.4,1628.42,129.4372553,5048,834
Scenario 106,Camp 1,6,30,0.75,3,428.4,2882.1,25.64451507,6310,318
Scenario 106,Camp 2,6,30,0.75,3,642.6,2860.68,38.37794773,6310,432
Scenario 106,Camp 3,6,30,0.75,3,1071,2817.84,63.84464891,6310,638
Scenario 106,Camp 4,6,30,0.75,3,4282.8,4500.96,254.7728708,6310,2080
Scenario 106,Camp 5,6,30,0.75,3,2483.6,742.52,147.8179142,6310,1000
Scenario 106,Camp 6,6,30,0.75,3,1698.4,2074,101.1410201,6310,850
Scenario 106,Camp 7,6,30,0.75,3,2174.4,1628.42,129.4372553,6310,992
Scenario 107,Camp 1,6,40,0.75,3,428.4,2882.1,46.32852265,3786,46.32852265
Scenario 107,Camp 2,6,40,0.75,3,642.6,2860.68,69.33231592,3786,94
Scenario 107,Camp 3,6,40,0.75,3,1071,2817.84,115.339606,3786,277.6714774
Scenario 107,Camp 4,6,40,0.75,3,4282.8,4500.96,460.2641416,3786,1360
Scenario 107,Camp 5,6,40,0.75,3,2483.6,742.52,267.0428966,3786,780
Scenario 107,Camp 6,6,40,0.75,3,1698.4,2074,182.7179819,3786,534
Scenario 107,Camp 7,6,40,0.75,3,2174.4,1628.42,233.8370133,3786,694
Scenario 107,Camp 1,6,40,0.75,3,428.4,2882.1,46.32852265,5048,134
Scenario 107,Camp 2,6,40,0.75,3,642.6,2860.68,69.33231592,5048,246
Scenario 107,Camp 3,6,40,0.75,3,1071,2817.84,115.339606,5048,448
Scenario 107,Camp 4,6,40,0.75,3,4282.8,4500.96,460.2641416,5048,1742
Scenario 107,Camp 5,6,40,0.75,3,2483.6,742.52,267.0428966,5048,920
Scenario 107,Camp 6,6,40,0.75,3,1698.4,2074,182.7179819,5048,698
Scenario 107,Camp 7,6,40,0.75,3,2174.4,1628.42,233.8370133,5048,860
Scenario 107,Camp 1,6,40,0.75,3,428.4,2882.1,46.32852265,6310,272
Scenario 107,Camp 2,6,40,0.75,3,642.6,2860.68,69.33231592,6310,392
Scenario 107,Camp 3,6,40,0.75,3,1071,2817.84,115.339606,6310,610
Scenario 107,Camp 4,6,40,0.75,3,4282.8,4500.96,460.2641416,6310,2108
Scenario 107,Camp 5,6,40,0.75,3,2483.6,742.52,267.0428966,6310,1054
Scenario 107,Camp 6,6,40,0.75,3,1698.4,2074,182.7179819,6310,856
Scenario 107,Camp 7,6,40,0.75,3,2174.4,1628.42,233.8370133,6310,1018
Scenario 108,Camp 1,6,50,0.75,3,428.4,2882.1,62.37228536,3786,62.37228536
Scenario 108,Camp 2,6,50,0.75,3,642.6,2860.68,93.34238923,3786,93.34238923
Scenario 108,Camp 3,6,50,0.75,3,1071,2817.84,155.2821978,3786,244
Scenario 108,Camp 4,6,50,0.75,3,4282.8,4500.96,619.6555543,3786,1350
Scenario 108,Camp 5,6,50,0.75,3,2483.6,742.52,359.5209775,3786,810
Scenario 108,Camp 6,6,50,0.75,3,1698.4,2074,245.9939894,3786,524.2853254
Scenario 108,Camp 7,6,50,0.75,3,2174.4,1628.42,314.8157568,3786,702
Scenario 108,Camp 1,6,50,0.75,3,428.4,2882.1,62.37228536,5048,98
Scenario 108,Camp 2,6,50,0.75,3,642.6,2860.68,93.34238923,5048,216
Scenario 108,Camp 3,6,50,0.75,3,1071,2817.84,155.2821978,5048,426
Scenario 108,Camp 4,6,50,0.75,3,4282.8,4500.96,619.6555543,5048,1762
Scenario 108,Camp 5,6,50,0.75,3,2483.6,742.52,359.5209775,5048,962
